charcter	definition	pinyin
的	possessive, adjectival suffix	de
一	one; a, an; alone	yī
是	indeed, yes, right; to be; demonstrative pronoun, this, that	shì
不	no, not; un-; negative prefix	bù
了	to finish; particle of completed action	le
在	be at, in, on; consist in, rest	zài
人	man; people; mankind; someone else	rén
有	have, own, possess; exist	yǒu
我	our, us, i, me, my, we	wǒ
他	other, another; he, she, it	tā
这	this, the, here	zhè
个	numerary adjunct, piece; single	gè
们	adjunct pronoun indicate plural	men
中	central; center, middle; in the midst of; hit (target); attain	zhōng
来	come, coming; return, returning	lái
上	top; superior, highest; go up, send up	shàng
大	big, great, vast, large, high	dà
为	do, handle, govern, act; be	wèi
和	harmony, peace; peaceful, calm	hé
国	nation, country, nation-state	guó
地	earth; soil, ground; region	de
到	go to, arrive, been to	dào
以	by means of; thereby, therefore; consider as; in order to	yǐ
说	speak, say, talk; scold, upbraid	shuō
时	time, season; era, age, period	shí
要	necessary, essential; necessity	yào
就	just, simply; to come, go to; to approach, near	jiù
出	go out, send out; stand; produce	chū
会	assemble, meet together; meeting	huì
可	may, can, -able; possibly	kě
也	also; classical final particle of strong affirmation or identity	yě
你	you, second person pronoun	nǐ
对	correct, right; facing, opposed	duì
生	life, living, lifetime; birth	shēng
能	to be able; can, permitted to; ability	néng
而	and; and then; and yet; but	ér
子	offspring, child; fruit, seed of; 1st terrestrial branch	zi
那	that, that one, those	nà
得	obtain, get, gain, acquire	dé
于	in, on, at; go to; surname	yú
着	make move, take action	zhe
下	under, underneath, below; down; inferior; bring down	xià
自	self, private, personal; from	zì
之	marks preceding phrase as modifier of following phrase; it, him her, them; go to	zhī
年		nián
过	pass, pass through, go across	guò
发	issue, dispatch, send out; hair	fā
后	queen, empress, sovereign; (simp. for 	hòu
作	make; work; compose, write; act, perform	zuò
里	unit of distance; village; lane	lǐ
用	use, employ, apply, operate; use	yòng
道	path, road, street; method, way	dào
行	go; walk; move, travel; circulate	xíng
所	place, location; numerary adjunct	suǒ
